_clientDNI,_clientName,_clientSurname,_clientEmail,_clientPhoneNumber
969495,Seward,Pimlock,spimlock0@livejournal.com,664-89-7985
41919348,Sydel,Kirvin,skirvin1@state.tx.us,621-27-8856
87055522,Karena,Seed,kseed2@msu.edu,551-69-7790
38619004,Kynthia,Olivey,kolivey3@cocolog-nifty.com,731-78-0546
46478597,Leslie,Barnewelle,lbarnewelle4@yelp.com,725-34-7744
93597182,Caren,Barke,cbarke5@theguardian.com,831-08-8995
82053672,Jehanna,Loreit,jloreit6@t.co,366-94-0585
31618897,Hermann,Yellep,hyellep7@acquirethisname.com,423-30-1362
16574735,Bay,Dunlea,bdunlea8@upenn.edu,813-39-8954
40323945,Llewellyn,Costley,lcostley9@csmonitor.com,541-54-3674
99327077,Simmonds,Plues,spluesa@123-reg.co.uk,871-93-3738
66605401,Bertie,Borne,bborneb@jigsy.com,685-04-5627
9919582,Sayres,Dukes,sdukesc@dyndns.org,257-04-9904
29095192,Eolanda,Bilverstone,ebilverstoned@wikispaces.com,172-08-0706
35943700,Polly,Freestone,pfreestonee@umn.edu,762-82-1523
55285558,Berton,Tamblingson,btamblingsonf@acquirethisname.com,535-74-3819
95072853,Fletcher,Dalgarno,fdalgarnog@baidu.com,542-04-2971
27464211,Simonette,Gritten,sgrittenh@a8.net,598-50-5676
33772560,Zach,Hayne,zhaynei@redcross.org,425-15-3248
81419343,Karlee,Naile,knailej@ucsd.edu,246-93-4521
30276021,Arlana,Gaitskill,agaitskillk@state.tx.us,155-53-5300
83058701,Brew,Girkin,bgirkinl@blogtalkradio.com,379-28-3543
95968876,Debor,Yearron,dyearronm@alexa.com,415-80-1977
46849878,Alissa,Braidon,abraidonn@umn.edu,751-57-7534
76845598,Roman,Chaize,rchaizeo@cnet.com,502-51-9762
